Date,Open,High,Low,Close,Adj Close,Volume
3/22/24,5242.48,5246.09,5229.87,5234.18,5234.18,3374700000
3/21/24,5253.43,5261.10,5240.66,5241.53,5241.53,4207730000
3/20/24,5181.69,5226.19,5171.55,5224.62,5224.62,4064850000
3/19/24,5139.09,5180.31,5131.59,5178.51,5178.51,4031760000
3/18/24,5154.77,5175.60,5145.47,5149.42,5149.42,4036220000
3/15/24,5123.31,5136.86,5104.35,5117.09,5117.09,7753670000
3/14/24,5175.14,5176.85,5123.30,5150.48,5150.48,4687970000
3/13/24,5173.49,5179.14,5151.88,5165.31,5165.31,4282890000
3/12/24,5134.30,5179.87,5114.48,5175.27,5175.27,4080510000
3/11/24,5111.96,5124.66,5091.14,5117.94,5117.94,3896430000
3/8/24,5164.46,5189.26,5117.50,5123.69,5123.69,4208870000
3/7/24,5132.38,5165.62,5128.21,5157.36,5157.36,4137980000
3/6/24,5108.03,5127.97,5092.22,5104.76,5104.76,4559050000
3/5/24,5110.52,5114.54,5056.82,5078.65,5078.65,4418410000
3/4/24,5130.99,5149.67,5127.18,5130.95,5130.95,4758440000
3/1/24,5098.51,5140.33,5094.16,5137.08,5137.08,4748110000
2/29/24,5085.36,5104.99,5061.89,5096.27,5096.27,5219740000
2/28/24,5067.20,5077.37,5058.35,5069.76,5069.76,3789370000
2/27/24,5074.60,5080.69,5057.29,5078.18,5078.18,3925950000
2/26/24,5093.00,5097.66,5068.91,5069.53,5069.53,3683930000
2/23/24,5100.92,5111.06,5081.46,5088.80,5088.80,3672790000
2/22/24,5038.83,5094.39,5038.83,5087.03,5087.03,4051710000
2/21/24,4963.03,4983.21,4946.00,4981.80,4981.80,3788390000
2/20/24,4989.32,4993.71,4955.02,4975.51,4975.51,4034880000
2/16/24,5031.13,5038.70,4999.52,5005.57,5005.57,3833270000
2/15/24,5003.14,5032.72,4999.44,5029.73,5029.73,4137970000
2/14/24,4976.44,5002.52,4956.45,5000.62,5000.62,3845600000
2/13/24,4967.94,4971.30,4920.31,4953.17,4953.17,4302190000
2/12/24,5026.83,5048.39,5016.83,5021.84,5021.84,3805740000
2/9/24,5004.17,5030.06,5000.34,5026.61,5026.61,3912990000
2/8/24,4995.16,5000.40,4987.09,4997.91,4997.91,4341860000
2/7/24,4973.05,4999.89,4969.05,4995.06,4995.06,4895590000
2/6/24,4950.16,4957.77,4934.88,4954.23,4954.23,4440880000
2/5/24,4957.19,4957.19,4918.09,4942.81,4942.81,4023640000
2/2/24,4916.06,4975.29,4907.99,4958.61,4958.61,3974350000
2/1/24,4861.11,4906.97,4853.52,4906.19,4906.19,4386090000
1/31/24,4899.19,4906.75,4845.15,4845.65,4845.65,4696120000
1/30/24,4925.89,4931.09,4916.27,4924.97,4924.97,3836130000
1/29/24,4892.95,4929.31,4887.40,4927.93,4927.93,3525160000
1/26/24,4888.91,4906.69,4881.47,4890.97,4890.97,3353400000
1/25/24,4886.66,4898.15,4869.34,4894.16,4894.16,4020430000
1/24/24,4888.56,4903.68,4865.94,4868.55,4868.55,4330030000
1/23/24,4856.80,4866.48,4844.37,4864.60,4864.60,3912800000
1/22/24,4853.42,4868.41,4844.05,4850.43,4850.43,4297610000
1/19/24,4796.28,4842.07,4785.87,4839.81,4839.81,4287200000
1/18/24,4760.10,4785.79,4740.57,4780.94,4780.94,4019000000
1/17/24,4739.13,4744.23,4714.82,4739.21,4739.21,3928600000
1/16/24,4772.35,4782.34,4747.12,4765.98,4765.98,4260550000
1/12/24,4791.18,4802.40,4768.98,4783.83,4783.83,3486340000
1/11/24,4792.13,4798.50,4739.58,4780.24,4780.24,3759890000
1/10/24,4759.94,4790.80,4756.20,4783.45,4783.45,3498680000
1/9/24,4741.93,4765.47,4730.35,4756.50,4756.50,3529960000
1/8/24,4703.70,4764.54,4699.82,4763.54,4763.54,3742320000
1/5/24,4690.57,4721.49,4682.11,4697.24,4697.24,3844370000
1/4/24,4697.42,4726.78,4687.53,4688.68,4688.68,3715480000
1/3/24,4725.07,4729.29,4699.71,4704.81,4704.81,3950760000
1/2/24,4745.20,4754.33,4722.67,4742.83,4742.83,3743050000
12/29/23,4782.88,4788.43,4751.99,4769.83,4769.83,3126060000
12/28/23,4786.44,4793.30,4780.98,4783.35,4783.35,2698860000
12/27/23,4773.45,4785.39,4768.90,4781.58,4781.58,2748450000
12/26/23,4758.86,4784.72,4758.45,4774.75,4774.75,2513910000
12/22/23,4753.92,4772.94,4736.77,4754.63,4754.63,3046770000
12/21/23,4724.29,4748.71,4708.35,4746.75,4746.75,3431180000
12/20/23,4764.73,4778.01,4697.82,4698.35,4698.35,4201320000
12/19/23,4743.72,4768.69,4743.72,4768.37,4768.37,4026970000
12/18/23,4725.58,4749.52,4725.58,4740.56,4740.56,4060340000
12/15/23,4714.23,4725.53,4704.69,4719.19,4719.19,8218980000
12/14/23,4721.04,4738.57,4694.34,4719.55,4719.55,6314040000
12/13/23,4646.20,4709.69,4643.23,4707.09,4707.09,5063650000
12/12/23,4618.30,4643.93,4608.09,4643.70,4643.70,3808380000
12/11/23,4593.39,4623.71,4593.39,4622.44,4622.44,3823210000
12/8/23,4576.20,4609.23,4574.06,4604.37,4604.37,3707010000
12/7/23,4568.84,4590.92,4565.22,4585.59,4585.59,3818880000
12/6/23,4586.23,4590.74,4546.50,4549.34,4549.34,4245680000
12/5/23,4557.25,4578.56,4551.68,4567.18,4567.18,3909950000
12/4/23,4564.37,4572.37,4546.72,4569.78,4569.78,4369910000
